WB_A3,NAM_0,GEM_PGA_mean,GEM_PGA_median,FLOOD_mean,FLOOD_median,STORM_mean,STORM_median
MYS,Malaysia,0.038489351143132455,0.03820014999995752,0.09702245139867335,0.0,0.10160873910529403,0.0
PLW,Palau,,,0.0,0.0,29.236783345540363,29.13919448852539
THA,Thailand,0.04120747140766131,0.03416685000393281,0.12477930201401685,0.0,4.15787428252551,0.0
TMP,Timor-Leste,0.28792359433274406,0.27322179253359186,0.0032449478291565925,0.0,19.30260322507748,19.41231346130371
AUS,Australia,0.0218811294799251,0.01657338483742693,0.022196914272973635,0.0,12.024219189341178,0.0
NFK,Norfolk Island (Aus.),0.07825875,0.07825875,0.0,0.0,0.0,0.0
NZL,New Zealand,0.3885725815983469,0.39027480000020154,0.03380167929080878,0.0,24.42474933442116,24.610307693481445
PNG,Papua New Guinea,0.39522994170018044,0.3527842,0.033375312185581,0.0,3.2236517851119806,0.0
SGP,Singapore,0.04053259819730875,0.04129110631701855,0.07044489866047236,0.0,0.0,0.0
TUV,Tuvalu,,,0.0,0.0,0.0,0.0
VUT,Vanuatu,1.1923434011068026,1.26786011147157,0.00869635213147667,0.0,40.8237548828125,40.862552642822266
AIA,Anguilla (U.K.),0.2596660999999978,0.2596660999999978,0.0,0.0,0.0,0.0
ATG,Antigua and Barbuda,0.37128274000749445,0.38169800011057836,0.04027048873901367,0.0,46.90101928710938,46.81739044189453
AUS,Ashmore and Cartier Islands (Aus.),,,,,0.0,0.0
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",0.2791241,0.2791241,0.0,0.0,0.0,0.0
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",0.28952636729767667,0.28952636729767667,0.0,0.0,46.80164337158203,46.80164337158203
BLM,Saint-Barth̩lemy (Fr.),,,0.0,0.0,46.52499008178711,46.52499008178711
BMU,Bermuda (U.K.),,,0.0,0.0,43.870662689208984,43.870662689208984
BRB,Barbados,0.3186479381639643,0.3182628999999887,0.0002672811577603278,0.0,44.97590637207031,44.942955017089844
CAN,Canada,0.03307851858921245,0.018495532060357256,0.03586684194117093,0.0,0.9002251129522508,0.0
CCK,Cocos (Keeling) Islands (Aus.),,,0.0,0.0,0.0,0.0
CXR,Christmas Island (Aus.),,,0.0,0.0,24.544593811035156,24.544593811035156
DMA,Dominica,0.3760070678154039,0.3775367633959813,0.00495344124092961,0.0,46.87126668294271,46.7483024597168
DOM,Dominican Republic,0.38556152666350424,0.39471358947676527,0.035609483457540766,0.0,46.3506529564951,46.800418853759766
FSM,Federated States of Micronesia,,,0.0,0.0,25.806124877929687,23.382102966308594
FRA,France,0.4087928973992408,0.4069694125852432,0.02311151624939835,0.0,46.80097452799479,46.81156921386719
GRD,Grenada,0.3180314214425882,0.3170138728581335,0.00033298511778255633,0.0,42.90785217285156,42.90785217285156
FRA,France,0.015496688854907625,0.008134767382327688,0.07323906510252091,0.0,0.0,0.0
GUY,Guyana,0.02121272147190068,0.013640785930569315,0.05383682833335358,0.0,1.6620239754321615,0.0
KNA,Saint Kitts and Nevis,0.31108431110142326,0.3115546500016529,0.003146132081747055,0.0,46.62776184082031,46.667137145996094
LCA,Saint Lucia,0.4032001751004168,0.404840200002475,0.0,0.0,45.62738545735677,45.587257385253906
MAF,Saint-Martin (Fr.),0.25961624889846013,0.25966291878337733,0.010597496701959978,0.0,0.0,0.0
MHL,Marshall Islands,,,0.048875336863022645,0.0,22.39715576171875,22.39715576171875
MSR,Montserrat (U.K.),0.35746003334235116,0.35933810002262107,0.0,0.0,46.66260528564453,46.66260528564453
FRA,France,0.3956046123418018,0.3959421499999982,0.0055247758374069676,0.0,46.952980041503906,47.01300048828125
NCL,New Caledonia (Fr.),0.09973031468819896,0.08753990426341621,0.0001128770774693005,0.0,38.084619140625,37.93794250488281
NRU,Nauru,0.0,0.0,0.0,0.0,0.0,0.0
PRI,Puerto Rico (U.S.),0.3758642176825813,0.36626437313272525,0.021892204865762963,0.0,47.239908854166664,47.248756408691406
SLB,Solomon Islands,0.8022908588565835,0.777006637970904,0.0008861813918104697,0.0,25.827141718033257,26.406333923339844
SPM,Saint-Pierre-et-Miquelon (Fr.),0.03343497093077723,0.03366429024757521,6.30620556241485,0.0,31.119524002075195,31.119524002075195
SUR,Suriname,0.0026797072825123524,0.0,0.14599243843972756,0.0,0.0,0.0
SXM,Sint Maarten (Neth.),,,0.028095688930777615,0.0,0.0,0.0
TTO,Trinidad and Tobago,0.34053890998750624,0.33396945,0.0047291234368072015,0.0,38.753126190929876,38.86803436279297
VCT,Saint Vincent and the Grenadines,0.34323905149077233,0.343685912905467,0.004804944073107309,0.0,44.779823303222656,44.779823303222656
VEN,Republica Bolivariana de Venezuela,0.07200698677904235,0.023930137693446527,0.09926293865145862,0.0,7.197616562793979,0.0
VGB,British Virgin Islands (U.K.),0.3776854127080209,0.3753956999993379,0.009104094403312805,0.0,47.3267936706543,47.3267936706543
VIR,United States Virgin Islands (U.S.),0.3114803626604303,0.2838198963906019,0.011870900974717252,0.0,46.20862579345703,46.20862579345703
ABW,Aruba (Neth.),0.1290720117052151,0.12925695170599164,0.0,0.0,40.173858642578125,40.173858642578125
