Model,Variable,Coefficient,Std_Error,P_Value,Sig
VULN-L.2,Log GDP per Capita (PPP),0.08175266365650256,0.023998365894290077,0.000657791523390055,***
VULN-L.2,Earthquake + Storm (Log),0.026026556695641606,0.01692357317723066,0.12407605115642645,
VULN-L.2,Poverty × EQK+STM,0.0009211615069061931,0.0008132756358838236,0.25735875314752454,
VULN-L.2,Region FE: Europe & Central Asia,-0.06852698383946555,0.055775268282432164,0.21921179987951733,
VULN-L.2,Region FE: Latin America & Caribbean,0.08775530580637525,0.05296023325893373,0.09751871428025603,*
VULN-L.2,Region FE: Middle East & North Africa,0.09781066201090158,0.07665895680044599,0.20198395781624923,
VULN-L.2,Region FE: North America,0.08561171523402844,0.08140327974861275,0.2929378541705878,
VULN-L.2,Region FE: South Asia,-0.23598113467812262,0.1066047319352577,0.026855726019621343,**
VULN-L.2,Region FE: Sub-Saharan Africa,-0.2495942914303132,0.0595868478198215,2.8049762793319122e-05,***
VULN-L.2,R-squared,0.6389594730413035,,,
VULN-L.2,Adj. R-squared,0.6129853344111815,,,
VULN-L.2,N,150,,,
VULN-L.2,Region Fixed Effects,Yes,,,
VULN-L.3,Constant,0.5972856683012384,0.04302690411961809,8.180507263288698e-44,***
VULN-L.3,Poverty Gap ($4.20/day),-0.002554787276382359,0.0017637962227614295,0.1474886035532587,
VULN-L.3,Log GDP per Capita (PPP),0.07655844470301093,0.023198539510768477,0.0009663636243821902,***
VULN-L.3,Earthquake + Storm (Log),0.028287885107323302,0.016684957860087876,0.08999720777609126,*
VULN-L.3,C_log_GDP:C_log_DIS_EQK_STM,-0.017698570183756295,0.01004627788854493,0.07811928394854623,*
VULN-L.3,Region FE: Europe & Central Asia,-0.06647108925195784,0.05412449199319003,0.21940387879093082,
VULN-L.3,Region FE: Latin America & Caribbean,0.08346306680126545,0.05418161176638993,0.12345518415339794,
VULN-L.3,Region FE: Middle East & North Africa,0.09349956166175002,0.0755009830688766,0.21557198136574263,
VULN-L.3,Region FE: North America,0.1388129175807034,0.07640453345669067,0.06924541490741078,*
VULN-L.3,Region FE: South Asia,-0.2552335915980347,0.11060311084758295,0.021018448658467685,**
VULN-L.3,Region FE: Sub-Saharan Africa,-0.2336407154092534,0.06248991984960064,0.00018486070692019205,***
VULN-L.3,R-squared,0.6424254139822382,,,
VULN-L.3,Adj. R-squared,0.6167006236212481,,,
VULN-L.3,N,150,,,
VULN-L.3,Region Fixed Effects,Yes,,,
VULN-L.4,Constant,0.5805717752712617,0.041693692628742424,4.484785548151557e-44,***
VULN-L.4,Poverty Gap ($4.20/day),-0.0027108581994373564,0.0018411036683847145,0.14091037803968368,
VULN-L.4,Log GDP per Capita (PPP),0.03982466359488787,0.0304559561246252,0.1910039430095406,
VULN-L.4,Government Effectiveness (WGI),0.04989458858052286,0.026486668133047165,0.05959712648344909,*
VULN-L.4,Earthquake + Storm (Log),0.02886682612470996,0.016521851177702905,0.08060424969135065,*
VULN-L.4,Gov. Effectiveness × EQK+STM,-0.016959029859580005,0.014870693758752588,0.2541059521032507,
VULN-L.4,Region FE: Europe & Central Asia,-0.046011682307057475,0.054192037252003354,0.39585415787794953,
VULN-L.4,Region FE: Latin America & Caribbean,0.11472641311934005,0.054159796853467966,0.03415011332633503,**
VULN-L.4,Region FE: Middle East & North Africa,0.12592386099355315,0.07782774510014681,0.10566655906631281,
VULN-L.4,Region FE: North America,0.12370898097903413,0.07509660274059676,0.09948997659156199,*
